bar_index,sequence_id,n_legs,trend,shape,efficiency_ratio,atr_at_event,volatility_regime,session,close_price,high_price,low_price,label_outcome,label_pnl_atr,label_bars_to_outcome,label_win,regime_viterbi,regime_smoothed_prob,regime_prob_BREAKOUT,regime_prob_PULLBACK,regime_prob_CHOPZONE,regime_prob_COMPRESSION,trend_numeric,shape_numeric,regime,pred_p05,pred_p25,pred_p50,pred_p75,pred_p90
63,S3_2,2,descending,diverging,2.6118,5.97709,low,london,2946.21,2947.1,2944.86,LOSS,-0.5,1,0,BREAKOUT,0.8300200731512923,0.8300200731512923,0.169979925394458,1.358408253068653e-09,9.58413645271004e-11,1,1,BREAKOUT,-0.5,-0.5,-0.5,-0.5,-0.21874999999999994
63,S3_2,2,descending,diverging,2.6118,5.97709,low,london,2946.21,2947.1,2944.86,LOSS,-0.5,1,0,BREAKOUT,0.8300200731512923,0.8300200731512923,0.169979925394458,1.358408253068653e-09,9.58413645271004e-11,1,1,BREAKOUT,-0.5,-0.5,-0.5,-0.5,-0.21874999999999994
63,S3_2,2,descending,diverging,2.6118,5.97709,low,london,2946.21,2947.1,2944.86,LOSS,-0.5,1,0,BREAKOUT,0.8300200731512923,0.8300200731512923,0.169979925394458,1.358408253068653e-09,9.58413645271004e-11,1,1,BREAKOUT,-0.5,-0.5,-0.5,-0.5,-0.21874999999999994
63,S3_2,2,descending,diverging,2.6118,5.97709,low,london,2946.21,2947.1,2944.86,LOSS,-0.5,1,0,BREAKOUT,0.8300200731512923,0.8300200731512923,0.169979925394458,1.358408253068653e-09,9.58413645271004e-11,1,1,PULLBACK,-0.5,-0.5,-0.5,-0.5,-0.5
63,S3_2,2,descending,diverging,2.6118,5.97709,low,london,2946.21,2947.1,2944.86,LOSS,-0.5,1,0,BREAKOUT,0.8300200731512923,0.8300200731512923,0.169979925394458,1.358408253068653e-09,9.58413645271004e-11,1,1,PULLBACK,-0.5,-0.5,-0.5,-0.5,-0.5
63,S3_2,2,descending,diverging,2.6118,5.97709,low,london,2946.21,2947.1,2944.86,LOSS,-0.5,1,0,BREAKOUT,0.8300200731512923,0.8300200731512923,0.169979925394458,1.358408253068653e-09,9.58413645271004e-11,1,1,PULLBACK,-0.5,-0.5,-0.5,-0.5,-0.5
63,S3_2,2,descending,diverging,2.6118,5.97709,low,london,2946.21,2947.1,2944.86,LOSS,-0.5,1,0,BREAKOUT,0.8300200731512923,0.8300200731512923,0.169979925394458,1.358408253068653e-09,9.58413645271004e-11,1,1,PULLBACK,-0.5,-0.5,-0.5,-0.5,-0.5
63,S3_2,2,descending,diverging,2.6118,5.97709,low,london,2946.21,2947.1,2944.86,LOSS,-0.5,1,0,BREAKOUT,0.7681521571515616,0.7681521571515616,0.2318478410708722,1.650295956886169e-09,1.2727016486527043e-10,1,1,BREAKOUT,-0.5,-0.5,-0.5,-0.5,-0.5
63,S3_2,2,descending,diverging,2.6118,5.97709,low,london,2946.21,2947.1,2944.86,LOSS,-0.5,1,0,BREAKOUT,0.7681521571515616,0.7681521571515616,0.2318478410708722,1.650295956886169e-09,1.2727016486527043e-10,1,1,BREAKOUT,-0.5,-0.5,-0.5,-0.5,-0.5
63,S3_2,2,descending,diverging,2.6118,5.97709,low,london,2946.21,2947.1,2944.86,LOSS,-0.5,1,0,BREAKOUT,0.7681521571515616,0.7681521571515616,0.2318478410708722,1.650295956886169e-09,1.2727016486527043e-10,1,1,BREAKOUT,-0.5,-0.5,-0.5,-0.5,-0.5
